name,display_name,category,diet_type,is_allergen,allergen_type,is_jain_compatible,is_vegan,common_unit,is_common,is_active,description,is_updated,last_update_date,is_review
rose_water,Rose Water (Gulab Jal),condiment,veg,N,,Y,Y,ml,N,Y,Gulab jamun biryani Mughlai sweets sherbets. Floral flavouring.,N,,N
kewra_water,Kewra Water,condiment,veg,N,,Y,Y,ml,N,Y,Pandanus flower extract. Biryani Awadhi sweets Mughlai finishing.,N,,N
green_chutney,Green Chutney (Hari Chutney),condiment,veg,N,,N,Y,grams,N,Y,Mint-coriander chutney. Chaat sandwiches snacks. Contains garlic — not Jain.,N,,N
tamarind_chutney,Tamarind Chutney (Imli Chutney),condiment,veg,N,,Y,Y,grams,N,Y,Sweet-sour. Chaat samosa dahi vada. Tamarind jaggery spices.,N,,N
food_colour,Food Colour,condiment,veg,N,,Y,Y,ml,N,Y,Biryani sweets jalebi. Artificial or natural.,N,,N
agar_agar,Agar Agar (China Grass),condiment,veg,N,,Y,Y,grams,N,Y,Vegetarian gelatin substitute. Puddings jellies falooda.,N,,N
supari,Supari (Betel Nut),condiment,veg,N,,N,Y,pieces,N,Y,Paan accompaniment. Used in paan-flavoured desserts.,N,,N
water,Water (Paani),condiment,veg,N,,Y,Y,ml,Y,Y,Cooking medium. Gravies dals rice dough. Most basic ingredient.,N,,N
charoli,Charoli,dry_fruit,veg,N,,Y,Y,pieces,Y,Y,Small nutty seed used in sweets and gravies,N,,N
white_pepper,White Pepper,spice,veg,N,,Y,Y,tsp,Y,Y,Milder pepper used in soups and continental dishes,N,,N
pineapple,Pineapple,fruit,veg,N,,Y,Y,pieces,N,Y,Tropical fruit used in sweet-sour dishes,N,,N
